english,french
The Dealer Area is required.,L'espace revendeur est obligatoire.
Dealer Code,Code du dealer
Confirm Password *,Confirmer le mot de passe *
Main Contact Email,Courriel du contact principal
Dealer Booking Tool Login Credentials,Identifiants de connexion à l'outil de réservation pour les concessionnaires
Phone,Téléphone
Prince Edward Island,Île-du-Prince-Édouard
The User Name is required.,Le nom d'utilisateur est obligatoire.
Newfoundland and Labrador,Terre-Neuve et Labrador
selectedUser,utilisateur sélectionné
dealerName,dealerName
dealerCode,dealerCode
This Dealer is also an active QQuote user. Link their accounts.,Ce concessionnaire est également un utilisateur actif de QQuote. Lier leurs comptes.
Country,Pays
Canada,Canada
If you change the Passsword it will override the existing password for the user.,"Si vous modifiez le mot de passe, il remplacera le mot de passe existant pour l'utilisateur."
toggle password visibility,activer la visibilité du mot de passe
The User Email is required.,L'adresse électronique de l'utilisateur est obligatoire.
dealerEmail,Adresse électronique du concessionnaire
Dealership Name (QQ),Nom du concessionnaire (QQ)
Ontario,Ontario
The Dealer Code is required.,Le code du concessionnaire est requis.
Quebec,Québec
Saskatchewan,Saskatchewan
Area,Zone
object,objet
qquoteUser,qquoteUtilisateur
Dealer Group,Groupe de distributeurs
Unable to update! Fill out the required fields,Impossible de mettre à jour ! Remplir les champs obligatoires
Successfullly updated!,Mise à jour réussie !
Nova Scotia,Nouvelle-Écosse
Dealership Name (OEM),Nom du concessionnaire (OEM)
The Dealership Address is required.,L'adresse du concessionnaire est obligatoire.
Does this dealer need access to any other accounts to create and submit bookings?,Ce concessionnaire doit-il avoir accès à d'autres comptes pour créer et soumettre des réservations ?
confirmPassword,confirmerMotdepasse
New Brunswick,Nouveau-Brunswick
ellipsis,ellipse
Show Password Fields,Afficher les champs du mot de passe
Northwest Territories,Territoires du Nord-Ouest
nowrap,piège à souris
dealerArea,zone de vente
showPasswordFields,showPasswordFields
The Dealership Email is required.,L'adresse électronique du concessionnaire est obligatoire.
hidden,caché
selectedDealers,selectedDealers
dealerGroup,dealerGroup
User Email,Email de l'utilisateur
No results,Pas de résultats
Delete Dealer?,Supprimer le concessionnaire ?
Delete,Supprimer
Confirm Delete,Confirmer Supprimer
Are you sure you want to delete this Dealer?,Êtes-vous sûr de vouloir supprimer ce concessionnaire ?
Delete User,Supprimer l'utilisateur
Delete User?,Supprimer l'utilisateur ?
Are you sure you want to delete this User?,Êtes-vous sûr de vouloir supprimer cet utilisateur ?
Unable to fetch dealerships details!,Impossible d'obtenir les coordonnées des concessionnaires !
Dealerships,Concessionnaires
Dealership Logo,Logo de la concession
Group,Groupe
DIr Code,Code DIr
logoHTML,logoHTML
brand,marque
OEM,OEM
Addrress,Addrress
QQ,QQ
edit,éditer
dealershipName,nom du concessionnaire
Add Dealership,Ajouter un concessionnaire
Added Dealership!,Ajout d'un concessionnaire !
Dealership Name,Nom du concessionnaire
Unable to add Dealership!,Impossible d'ajouter un concessionnaire !
Upload Logo,Télécharger le logo
Import Dealers,Négociants en importations
Upload Placeholder,Télécharger un espace réservé
input,entrée
Upload Distributor List,Télécharger la liste des distributeurs
oval,ovale
circle,cercle
px,px
rectangle,rectangle
stripe,rayure
square,carré
disabled,handicapé
submit,soumettre
Upload a Past Order,Télécharger une commande antérieure
Global Search,Recherche globale
search,recherche
Select an available booking program and dealership above to get started.,Sélectionnez un programme de réservation et un concessionnaire ci-dessus pour commencer.
Booking Has Been Closed!,Les réservations sont closes !
Booking Submitted,Réservation soumise
Unable to save details!,Impossible d'enregistrer les détails !
Submit Booking,Soumettre une réservation
Details Saved Successfully! Please fill out the empty fields,Détails enregistrés avec succès ! Veuillez remplir les champs vides
TPMS is underassigned. Assign remaining TPMS before submitting the booking.,Le système TPMS n'est pas attribué. Attribuez les TPMS restants avant de soumettre la réservation.
Details Saved Successfully!,Détails sauvegardés avec succès !
TPMS has been overassigned. Reassign it before submitting the booking.,Le système TPMS a été attribué de manière excessive. Réaffectez-le avant de soumettre la réservation.
Warning,Avertissement
Submit Booking?,Soumettre la réservation ?
"Once submitted, you will NOT be able to make changes.","Une fois le formulaire soumis, vous ne pourrez PAS le modifier."
fulfilled,satisfaits
sticky table,table collante
th,th
Click To Select Dealership,Cliquez pour sélectionner le concessionnaire
Dealership *,Concessionnaire *
row,rangée
Select Dealership,Sélectionner un concessionnaire
Click To Load Program,Cliquer pour charger le programme
programName,nom du programme
Open,Ouvrir
Select Booking Program,Sélectionner le programme de réservation
Booking Program *,Programme de réservation *
You will still have the ability to make changes while program booking window is open.,Vous aurez toujours la possibilité d'apporter des modifications pendant que la fenêtre de réservation du programme est ouverte.
Save Changes,Enregistrer les modifications
Save Booking?,Sauvegarder la réservation ?
dealerId,dealerId
Note: This will completely override previously added Tires!,Note : Ceci annulera complètement les pneus ajoutés précédemment !
programId,programmeId
Uploaded successfully with missing Items.,Téléchargé avec succès avec les éléments manquants.
targetId,targetId
Error! Target not uploaded for this Dealership,Erreur ! La cible n'a pas été téléchargée pour ce concessionnaire
orderFile,fichier de commande
Upload Past Order,Télécharger une commande antérieure
Missing Info,Informations manquantes
Missing Items (Upload Successfully: Review missing items for details.),Éléments manquants (Chargement réussi : vérifiez les éléments manquants pour plus de détails).
Click to Download Order,Cliquez pour télécharger la commande
Escape,S'évader
small,petit
sticky,collant
Login as Dealer,Se connecter en tant que revendeur
column,colonne
medium,moyen
Landing Banner,Bannière d'atterrissage
Flag,Drapeau
block,bloc
Powered by,Propulsé par
Last Submitted:,Dernière soumission :
Dealer Logo,Logo du revendeur
"state.dealerProgram.isProgramDatePast);
  const closingDateFormatted = getClosingDateTime(
    programData?.closingTime,
    programData?.updatedTime,
  );

  return (","state.dealerProgram.isProgramDatePast) ;
  const closingDateFormatted = getClosingDateTime(
    programData ?.closingTime,
    programData ?.updatedTime,
  ) ;

  return ("
Last saved:,Dernière sauvegarde :
Sync Booker Data,Synchroniser les données du booker
right,droit
bottom,fond
Account,Compte
Reset Password,Réinitialiser le mot de passe
Logout,Déconnexion
number,nombre
Set Target,Fixer un objectif
Target updated successfully,Mise à jour réussie de la cible
Set Dealer Target,Définir l'objectif du concessionnaire
Unable to update target!,Impossible de mettre à jour la cible !
Dealer Target,Cible du dealer
Program selection is required.,La sélection du programme est requise.
Unable to update target. Contact Admin,Impossible de mettre à jour la cible. Contacter l'administrateur
Program,Programme
Unable to update password. Contact Admin,Impossible de mettre à jour le mot de passe. Contacter l'administrateur
Unable to update password!,Impossible de mettre à jour le mot de passe !
Password updated successfully,Mot de passe mis à jour avec succès
Reset,Réinitialisation
black,noir
Target:,Cible :
Net Total:,Total net :
QTY Total Tires:,QTÉ Total des pneus :
inherit,hériter
Unable to fetch tires details!,Impossible d'obtenir les détails des pneus !
smooth,lisse
Please select the delivery date you wish to have the tires delivered.,Veuillez sélectionner la date à laquelle vous souhaitez que les pneus soient livrés.
Image,Image
quantity,quantité
tires,tires
Please enter number of TIRE UNITS you wish to order.,Veuillez saisir le nombre d'unités de pneus que vous souhaitez commander.
QTY Tires,QTÉ Pneus
Tire Size,Tire Size
Identifier,Identifier
Distributor,Distributeur
Net $,Montant net
Please select distributor you wish to order from.,Veuillez sélectionner le distributeur auprès duquel vous souhaitez passer commande.
cost,coût
Delivery,Livraison
Load,Chargement
Speed,Vitesse
DIr $,DIr $
Cu $,Cu $
"option.id === distributorId);

      return isProgramDatePast ? (
        distributor ? (
          distributor.label
        ) : (
          ''
        )
      ) : (","option.id === distributorId) ;

      return isProgramDatePast ? (
        distributeur ? (
          distributeur.label
        ) : (
          ''
        )
      ) : ("
Manufacturer,Fabricant
Missing original index,Index original manquant
Wheels,Roues
Add Wheels to include in your booking.,Ajoutez les roues à votre réservation.
Number Of Wheels:,Nombre de roues :
Packages,Emballages
Expand,Élargir
Collapse,Effondrement
Number Of Sets:,Nombre de jeux :
default,par défaut
Add Package Sets to include in your booking.,Ajoutez des ensembles de forfaits à inclure dans votre réservation.
Number Of Tires:,Nombre de pneus :
Add Tires to include in your booking.,Ajoutez les pneus à votre réservation.
Color,Couleur
Type,Type
Size,Taille
Style,Style
Offset,Décalage
CB,CB
Pattern,Modèle
Unable to fetch wheels details!,Impossible d'obtenir les détails des roues !
Add Wheels to List,Ajouter les roues à la liste
Select at least one additional wheel to add to your booking.,Sélectionnez au moins une roue supplémentaire à ajouter à votre réservation.
Please select atleast one wheel!,Veuillez sélectionner au moins une roue !
id,id
dimension,dimension
Unable to fetch packages details!,Impossible de récupérer les détails des paquets !
Please select atleast one package!,Veuillez sélectionner au moins un paquet !
Add Packages,Ajouter des paquets
Roboto,Roboto
description,description
QTY Sets,QTY Sets
wheelImageHtml,wheelImageHtml
Please select the delivery date you wish to have the set delivered.,Veuillez sélectionner la date de livraison souhaitée.
Please enter number of PACKAGE SETS you wish to order.,Veuillez indiquer le nombre d'ensembles de paquets que vous souhaitez commander.
Details,Détails
Wheel,Roue
Tire:,Pneumatique :
Load:,Charge :
Pattern:,Modèle :
Wheel:,Roue :
Net Price:,Prix net :
GM Genuine Parts,Pièces d'origine GM
Net Quantity:,Quantité nette :
Color:,Couleur :
Tire Size:,Tire Size:
Details:,Détails :
Accessory:,Accessoire :
Size:,Taille :
CB:,CB :
Speed:,Vitesse :
Style:,Style :
QTY,QTÉ
Type Specific Details,Détails spécifiques au type
Offset:,Décalage :
Please fill out all mandatory fields in red.,Veuillez remplir tous les champs obligatoires en rouge.
"The selected qty. of TPMS is greater than the qty. earned. Update your TPMS
                    selections to match the qty. of sensors earned.","La quantité sélectionnée de TPMS est supérieure à la quantité gagnée. Mettez à jour vos sélections TPMS
                    pour qu'elle corresponde à la quantité de capteurs gagnés."
Tyre Pressure,Pression des pneus
TPMS Order,Commande TPMS
Updated TPMS Assigned,Mise à jour du système TPMS assigné
Part #,Pièce #
Unable to update TPMS,Impossible de mettre à jour le système TPMS
Total number of TPMS selected must match the total number of TPMS earned.,Le nombre total de TPMS sélectionnés doit correspondre au nombre total de TPMS gagnés.
green,vert
darkgreen,vert foncé
& fieldset,& champignon
& legend,& légende
&:hover fieldset,&:hover fieldset
textfield,champ de texte
"Before you can proceed, please upload a Price Book file. This is the first step to setting
          up your programs and viewing tires, wheels, and other items.","Avant de poursuivre, veuillez télécharger un fichier du livre des prix. Il s'agit de la première étape pour
          de vos programmes et de visualiser les pneus, les roues et d'autres articles."
admin,l'administration
fixed,fixe
= start && formattedDate,= start && formattedDate
standard,standard
dark,sombre
) : type === 'Warning' ? (,) : type === 'Avertissement' ? (
clickaway,cliquable
SnackbarContentForwarded,SnackbarContentForwarded
IBM Plex Sans,IBM Plex Sans
controlled,contrôlé
You are about to delete this item from your booking order list. Item and quantity will be cleared. You can always add it back using the “Add” button.,"Vous êtes sur le point de supprimer cet article de votre liste de commandes. L'article et la quantité seront effacés. Vous pouvez toujours l'ajouter à nouveau en utilisant le bouton ""Ajouter""."
Record deleted successfully!,Enregistrement supprimé avec succès !
notes,notes
"Lost your password? Please enter your email address. You will receive a link to create a
          new password via email.","Vous avez perdu votre mot de passe ? Veuillez saisir votre adresse e-mail. Vous recevrez un lien pour créer un
          nouveau mot de passe."
Remember your password?,Vous vous souvenez de votre mot de passe ?
Forgot password,Mot de passe oublié
Check your spam folder if you don't see it in the inbox.,Vérifiez votre dossier spam si vous ne le voyez pas dans la boîte de réception.
guest,invité
form,formulaire
Password reset link sent. Check your spam folder if you don't see it in the inbox.,Lien de réinitialisation du mot de passe envoyé. Vérifiez votre dossier spam si vous ne le voyez pas dans la boîte de réception.
"t see it in the inbox."",
          ","Je ne l'ai pas vu dans la boîte de réception"",
          "
main,principal
Failed to send password reset link. Contact Admin,Le lien de réinitialisation du mot de passe n'a pas été envoyé. Contacter l'administrateur
Failed to send password reset link.,Le lien de réinitialisation du mot de passe n'a pas été envoyé.
xs,xs
key,clé
tabId,tabId
user,utilisateur
Login,Connexion
Kit Id is required.,Le kit Id est nécessaire.
Net $ *,Net $ *
Tire *,Tire *
Description *,Description *
tire,pneu
Kit ID *,Kit ID *
Wheel *,Roue *
TPMS *,TPMS *
Net Price is required.,Le prix net est requis.
Alias *,Alias * Alias * Alias * Alias * Alias * Alias * Alias * Alias * Alias
Package,Paquet
: modalOpen &&,: modalOpen &&
rowsPerPage,rangéesParPage
Rows per page,Rows per page
TPMS Earned:,TPMS gagné :
Booking Net Sub Total:,Booking Net Sub Total :
Tire Pressure,Tire Pressure
Select,Sélectionner
No records found,Aucun enregistrement n'a été trouvé
Footer,Pied de page
Cell,Cellule
expand row,développer la ligne
selectedPackage,paquet sélectionné
See Details,Voir les détails
Filter,Filtre
toolTipText,toolTipText
Header,En-tête
New Password,Nouveau mot de passe
Resend Reset Link,Lien de réinitialisation
Password reset successfully,Réinitialisation du mot de passe réussie
Confirm New Password,Confirmer le nouveau mot de passe
Or,Ou
token,jeton
Select at least one additional tire to add to your booking.,Sélectionnez au moins un pneu supplémentaire à ajouter à votre réservation.
Add Tires to List,Ajouter les pneus à la liste
Please select atleast one tire!,Veuillez sélectionner au moins un pneu !
Special Instructions or Delivery Notes,Instructions spéciales ou notes de livraison
Enter any custom notes here...,Saisissez ici des notes personnalisées...
modalContent,modalContent
OK,OK
Delete?,Supprimer ?
Not able to download Template. Contact Admin,Impossible de télécharger le modèle. Contact Admin
Download Template,Télécharger le modèle
